model,generation,scaler,imbalance,feature_selection,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,precision,precision_std,npv,npv_std,f1,f1_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,train_time_sec,dataset,efficiency
Gen1_LogisticRegression,1,standard,none,mutual_info_12,0.9743158726327108,0.0012401867288023,0.9377731923916116,0.0170785856393319,0.9011035378123984,0.0350997447720603,0.9744428469708248,0.0012868226554704,0.0576092604052417,0.0016911936622564,0.99982413295164,6.268764311932947e-05,0.1082805866150626,0.0029983667696165,0.9788478508624932,0.0112580962760698,0.7458571318150274,0.0576714128564755,0.224181319618316,0.0055983607417261,73.40642738342285,creditcard,0.0014750630893177838
Gen1_LogisticRegression,1,standard,smote,none,0.9740174241260504,0.0018494614987646,0.946469084012592,0.0102827882203498,0.9188250567997404,0.0219420805591151,0.9741131112254434,0.0018812515429664,0.0581263647489543,0.0030950422515072,0.999855650414587,3.910330166703351e-05,0.1093062826751497,0.0054005625093818,0.9805478534951068,0.0114451929360763,0.7737646980623137,0.0354894790994885,0.2274080612481728,0.0052804852859123,5.048128604888916,creditcard,0.021648543982284742
Gen1_LogisticRegression,1,standard,smote,select_k_best_5,0.977212578726766,0.002081518750737,0.9253079594852032,0.0196889687393505,0.8732229795520935,0.0413633037918208,0.9773929394183132,0.0021516709584073,0.0629897885258184,0.003261185073607,0.9997752927870496,7.347701247168998e-05,0.1174393979454229,0.0053798767235461,0.9589530256084744,0.0125271741566332,0.7168621951705904,0.0433267076171245,0.2308207295995736,0.0038372663884271,1.6914465427398682,creditcard,0.06939031454151727
Gen1_LogisticRegression,1,standard,smote,select_k_best_12,0.9709232153437644,0.0017150627560473,0.9360739248326836,0.0143566755420578,0.9011035378123984,0.0291107939715341,0.9710443118529688,0.001730356024642,0.0512897228209171,0.002886611554068,0.999823478430273,5.234483850619763e-05,0.0970380086267061,0.0051956388075153,0.9787519099809452,0.0117624063950307,0.7465975280770054,0.0610877213429254,0.2110509971877983,0.0076918923128335,2.052349805831909,creditcard,0.04725839131311161
Gen1_LogisticRegression,1,standard,smote,mutual_info_5,0.9767122385832474,0.0015207817825421,0.92632097824812,0.0190008599170541,0.8757546251217138,0.0393099093652637,0.9768873313745264,0.0015799639802835,0.061701503371858,0.0021159207293926,0.999779619022974,7.000482041068183e-05,0.1152496326540127,0.0035737450909432,0.9574714748587748,0.0103013415676505,0.7172428273142891,0.0388309425051004,0.2288364730437135,0.0051909002078976,73.61974573135376,creditcard,0.001565450492372966
Gen1_LogisticRegression,1,standard,smote,mutual_info_12,0.9719063398362922,0.0013110693903682,0.9353027130111208,0.0129729132605781,0.8985718922427782,0.0263210016265718,0.9720335337794636,0.0013265174331177,0.0527989118953139,0.0021902265271379,0.9998191319998564,4.735172915886724e-05,0.0997274467973516,0.0039575501522351,0.9791140197847058,0.0106829674502115,0.7484105185179202,0.0549356158271817,0.2139834243231908,0.0063191144171214,75.03181767463684,creditcard,0.0013291177099305736
Gen1_LogisticRegression,1,standard,smote_enn,none,0.9732800807566546,0.0016857562598203,0.946099773332314,0.0103636295738214,0.9188250567997404,0.0219420805591151,0.973374489864888,0.0017162975257438,0.0565606106743922,0.0026938177857848,0.9998555343146702,3.916320227080351e-05,0.1065385597062862,0.004714537238279,0.9804793230250466,0.0115498602048431,0.7831440553137277,0.0264131935684414,0.2242483927160107,0.004849888007858,268.99287962913513,creditcard,0.0003960631366526707
Gen1_LogisticRegression,1,standard,smote_enn,select_k_best_5,0.9767034606859928,0.0020590484810492,0.925052959159237,0.0197091381287114,0.8732229795520935,0.0413633037918208,0.9768829387663804,0.0021285101196942,0.0616595387012032,0.0030055661482672,0.9997751725800592,7.352454776274583e-05,0.1151285609784794,0.0049772466708684,0.9589552948780228,0.0125720050263768,0.7167416035910336,0.0428692716622814,0.2283102120555905,0.0038858201578211,13.820572137832642,creditcard,0.008329628484399944
Gen1_LogisticRegression,1,standard,smote_enn,select_k_best_12,0.9701946498716232,0.0013841132462006,0.9344453863685788,0.0130677862956123,0.8985718922427782,0.0263210016265718,0.9703188804943792,0.0013930135334321,0.049913030175781,0.0023357464967413,0.9998188035630592,4.7478580967504094e-05,0.0945629574087612,0.004241217772747,0.9790550296307472,0.0117379023802313,0.7682966437236759,0.0473964023927782,0.207823544486497,0.0068297530399828,135.78337574005127,creditcard,0.0006964200180865779
Gen1_LogisticRegression,1,standard,smote_enn,mutual_info_5,0.9762075094911014,0.0015000576330388,0.9260681766907264,0.0189940371268259,0.8757546251217138,0.0393099093652637,0.976381728259739,0.0015605088530645,0.0604461011875264,0.001888521063161,0.9997795059068276,7.00391497396653e-05,0.1130584496441155,0.0031860354898413,0.9574325857612588,0.0103210457788156,0.7171216050560341,0.039187232885011,0.2264278095565591,0.0049468101123756,92.7502019405365,creditcard,0.0012189432296154839
