model,generation,scaler,imbalance,feature_selection,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,precision,precision_std,npv,npv_std,f1,f1_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,train_time_sec
Gen3_XGBoost,3,none,smote_enn,mutual_info_5,0.6933392857142857,0.008109502488577516,0.6932183415805252,0.008117356263582363,0.49244310141129166,0.031400517831579156,0.8939935817497586,0.016341802616396693,0.8236119023999239,0.012687579090126766,0.6384976328437391,0.010779964813687459,0.6155058865907328,0.020403804542499883,0.740321276875722,0.011349494286974363,0.74811952191432,0.003187925302801842,0.42249286763579735,0.009939743784452759,38.56510615348816
Gen3_XGBoost,3,none,smote_enn,mutual_info_12,0.7316428571428573,0.0023988464489654556,0.7316164584531755,0.0024002048307469556,0.6877750423584166,0.0073065828367454245,0.7754578745479346,0.0027743388989926263,0.7536544971833815,0.0008202353903410966,0.7132306507636056,0.004169391095173331,0.7191879635743452,0.003899444191664863,0.7949824994276794,0.0015305870570794721,0.7766297259734636,0.0031672775253170924,0.46505528793359563,0.004451505776397301,26.321964740753174
Gen3_LightGBM,3,none,none,none,0.7360714285714286,0.0029564224450286964,0.7360483189208394,0.002959668526446598,0.6980665316084398,0.006576777996531664,0.7740301062332392,0.003392822738570836,0.7552326684686864,0.0025632257356975083,0.7196560293804422,0.004052613839230718,0.7255094704583869,0.003975493059132004,0.8018910542988655,0.0021639006085628137,0.7854433572592867,0.0021121929519049886,0.4734905018680511,0.005742325961758329,23.173749685287476
Gen3_LightGBM,3,none,none,select_k_best_5,0.7255357142857143,0.001241039310992422,0.7255131619356845,0.0012420502279612987,0.6877750104307641,0.006566692649169336,0.7632513134406048,0.007382882280399775,0.7437527593530942,0.004315792680435647,0.7099663479493742,0.002573640177505463,0.7146297893461848,0.002001396904672123,0.7785992660775441,0.001272281188746453,0.7529379074825029,0.002571179445141871,0.45237046610342724,0.0027123975052367887,19.059200525283813
Gen3_LightGBM,3,none,none,select_k_best_12,0.7361071428571428,0.0033103694534549182,0.7360828852730805,0.003312912695297329,0.6962797005390537,0.005898522829922987,0.7758860700071072,0.002733180564544739,0.7562744168576291,0.0028228177912839,0.7189397895010631,0.003998417743212947,0.7250294503480698,0.004113597724932028,0.8014744661477108,0.0025173864838567753,0.7845349673767565,0.00279742734095302,0.4736874738311089,0.006492029223526053,23.226080417633057
Gen3_LightGBM,3,none,none,mutual_info_5,0.7153035714285714,0.0019270827587790998,0.7152496059612072,0.0019261557022271527,0.6263803697043359,0.007125398977035331,0.8041188422180786,0.004594356860936127,0.7615854968255974,0.0026809172135602334,0.6830558286458495,0.003133135208653454,0.6873650638900423,0.0037060787289002286,0.7568427880386152,0.0023726840511257533,0.7641332682928963,0.00270201452551401,0.4375121685845172,0.0033803533003604483,22.827049493789673
Gen3_LightGBM,3,none,none,mutual_info_12,0.7360535714285714,0.0037726357645875355,0.7360302672654049,0.0037749677739188593,0.6978163337527776,0.006852716541882474,0.7742442007780324,0.004477223659494852,0.7553452875353951,0.003842119942314954,0.7195431096227314,0.004505710912519095,0.7254257285354001,0.004594964953676568,0.8011821796793658,0.0025232015927593708,0.7842317143720374,0.0030555027921233967,0.4734722428378603,0.007448291266591203,31.83946967124939
Gen3_LightGBM,3,none,smote,none,0.7363928571428572,0.0023620079662552,0.7363691546076057,0.0023637720175546987,0.6973162190047947,0.0054143958228645645,0.7754220902104167,0.0030574851816324044,0.7561762037474768,0.002209366268936255,0.7195089191189943,0.003291421600565578,0.7255426716560164,0.003183609296523929,0.8020200786016345,0.0023301017022180352,0.7849375040427847,0.0026946225325794543,0.4742093428772841,0.004592500284716641,26.01993680000305
Gen3_LightGBM,3,none,smote,select_k_best_5,0.7243571428571428,0.0011355795068274837,0.7243345996594963,0.0011373631096721576,0.6865600419299474,0.006497302755981605,0.7621091573890453,0.006444962394213798,0.742481181662137,0.0035631696579872057,0.708857099391176,0.002741469503822942,0.7133925588130107,0.0022443549669887526,0.7782606563403095,0.0015255280279707565,0.7522619241643672,0.004006140854007507,0.45000155934388664,0.0023209745249739037,22.693230628967285
Gen3_LightGBM,3,none,smote,select_k_best_12,0.7365714285714284,0.003270636990943904,0.7365482649467813,0.0032740523437844457,0.6985311044937149,0.007472933944257701,0.7745654253998476,0.002397070917789061,0.7557847347872265,0.0019402836144519155,0.7201149772582061,0.004673122135952227,0.7260139032505729,0.004555670217912447,0.8018092462386253,0.0024620482461510168,0.785296610464556,0.0021719826889810886,0.47449593355023356,0.006285180916937839,25.903358697891235
